asn,ix_id,fac_id,name,state,city
32899,811,208,CoreSite - Chicago (CH1),IL,Chicago
397095,811,208,CoreSite - Chicago (CH1),IL,Chicago
4556,811,208,CoreSite - Chicago (CH1),IL,Chicago
53610,811,208,CoreSite - Chicago (CH1),IL,Chicago
12243,811,208,CoreSite - Chicago (CH1),IL,Chicago
399663,811,208,CoreSite - Chicago (CH1),IL,Chicago
53597,811,208,CoreSite - Chicago (CH1),IL,Chicago
2906,811,208,CoreSite - Chicago (CH1),IL,Chicago
10310,811,208,CoreSite - Chicago (CH1),IL,Chicago
32934,811,208,CoreSite - Chicago (CH1),IL,Chicago
6507,811,208,CoreSite - Chicago (CH1),IL,Chicago
58907,811,208,CoreSite - Chicago (CH1),IL,Chicago
53828,811,208,CoreSite - Chicago (CH1),IL,Chicago
7155,811,208,CoreSite - Chicago (CH1),IL,Chicago
19151,811,208,CoreSite - Chicago (CH1),IL,Chicago
42,811,208,CoreSite - Chicago (CH1),IL,Chicago
15042,811,208,CoreSite - Chicago (CH1),IL,Chicago
53264,811,208,CoreSite - Chicago (CH1),IL,Chicago
31845,811,208,CoreSite - Chicago (CH1),IL,Chicago
26554,811,208,CoreSite - Chicago (CH1),IL,Chicago
36086,811,208,CoreSite - Chicago (CH1),IL,Chicago
23367,811,208,CoreSite - Chicago (CH1),IL,Chicago
14593,811,208,CoreSite - Chicago (CH1),IL,Chicago
6473,811,208,CoreSite - Chicago (CH1),IL,Chicago
394968,811,208,CoreSite - Chicago (CH1),IL,Chicago
3856,811,208,CoreSite - Chicago (CH1),IL,Chicago
134521,811,208,CoreSite - Chicago (CH1),IL,Chicago
63399,811,208,CoreSite - Chicago (CH1),IL,Chicago
30455,811,208,CoreSite - Chicago (CH1),IL,Chicago
17210,811,208,CoreSite - Chicago (CH1),IL,Chicago
393891,811,208,CoreSite - Chicago (CH1),IL,Chicago
63014,811,208,CoreSite - Chicago (CH1),IL,Chicago
32261,811,208,CoreSite - Chicago (CH1),IL,Chicago
36001,811,208,CoreSite - Chicago (CH1),IL,Chicago
2381,811,208,CoreSite - Chicago (CH1),IL,Chicago
14333,811,208,CoreSite - Chicago (CH1),IL,Chicago
63311,811,208,CoreSite - Chicago (CH1),IL,Chicago
398868,811,208,CoreSite - Chicago (CH1),IL,Chicago
19255,811,208,CoreSite - Chicago (CH1),IL,Chicago
26415,811,208,CoreSite - Chicago (CH1),IL,Chicago
112,811,208,CoreSite - Chicago (CH1),IL,Chicago
11142,811,208,CoreSite - Chicago (CH1),IL,Chicago
393853,811,208,CoreSite - Chicago (CH1),IL,Chicago
32425,811,208,CoreSite - Chicago (CH1),IL,Chicago
40165,811,208,CoreSite - Chicago (CH1),IL,Chicago
40764,811,208,CoreSite - Chicago (CH1),IL,Chicago
8075,163,208,CoreSite - Chicago (CH1),IL,Chicago
6939,163,208,CoreSite - Chicago (CH1),IL,Chicago
141039,163,208,CoreSite - Chicago (CH1),IL,Chicago
15169,163,208,CoreSite - Chicago (CH1),IL,Chicago
36236,163,208,CoreSite - Chicago (CH1),IL,Chicago
2734,163,208,CoreSite - Chicago (CH1),IL,Chicago
237,163,208,CoreSite - Chicago (CH1),IL,Chicago
22822,163,208,CoreSite - Chicago (CH1),IL,Chicago
14593,163,208,CoreSite - Chicago (CH1),IL,Chicago
46401,163,208,CoreSite - Chicago (CH1),IL,Chicago
33597,163,208,CoreSite - Chicago (CH1),IL,Chicago
33353,163,208,CoreSite - Chicago (CH1),IL,Chicago
4436,163,208,CoreSite - Chicago (CH1),IL,Chicago
14585,163,208,CoreSite - Chicago (CH1),IL,Chicago
13335,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
16509,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
8075,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
57976,6,224,Digital Realty CHI (350 E Cermak),IL,Chicago
